Size,Environment,Kind,Result,Time
84,CSP,no loop,passed,0.91384
85,CSP,loop,failed,0.90981
86,Alloy,no loop,passed,11.15226
87,Alloy,loop,failed,11.91646
86,CSP,no loop,passed,0.97734
87,CSP,loop,failed,1.00579
88,Alloy,no loop,passed,13.02891
89,Alloy,loop,failed,12.55131
88,CSP,no loop,passed,1.05983
89,CSP,loop,failed,1.04014
90,Alloy,no loop,passed,13.67768
91,Alloy,loop,failed,14.46956
90,CSP,no loop,passed,1.07809
91,CSP,loop,failed,1.13531
92,Alloy,no loop,passed,13.45883
93,Alloy,loop,failed,14.26417
92,CSP,no loop,passed,1.17587
93,CSP,loop,failed,1.24246
94,Alloy,no loop,passed,15.21212
95,Alloy,loop,failed,16.9307
94,CSP,no loop,passed,1.25369
95,CSP,loop,failed,1.31042
96,Alloy,no loop,passed,16.0823
97,Alloy,loop,failed,18.13487
96,CSP,no loop,passed,1.30003
97,CSP,loop,failed,1.40538
98,Alloy,no loop,passed,21.04846
99,Alloy,loop,failed,18.22161
98,CSP,no loop,passed,1.40588
99,CSP,loop,failed,1.48337
100,Alloy,no loop,passed,21.28644
101,Alloy,loop,failed,21.65066
100,CSP,no loop,passed,1.45623
101,CSP,loop,failed,1.57234
102,Alloy,no loop,passed,19.80758
103,Alloy,loop,failed,21.77903
102,CSP,no loop,passed,1.66032
103,CSP,loop,failed,1.73084
104,Alloy,no loop,passed,26.65742
105,Alloy,loop,failed,22.69828
104,CSP,no loop,passed,1.66786
105,CSP,loop,failed,1.73151
106,Alloy,no loop,passed,25.83923
107,Alloy,loop,failed,23.41865
106,CSP,no loop,passed,1.7279
107,CSP,loop,failed,1.81373
108,Alloy,no loop,passed,26.03018
109,Alloy,loop,failed,28.02957
108,CSP,no loop,passed,1.84286
109,CSP,loop,failed,1.94228
110,Alloy,no loop,passed,24.89536
111,Alloy,loop,failed,30.81555
110,CSP,no loop,passed,1.90394
111,CSP,loop,failed,2.03136
112,Alloy,no loop,passed,26.87673
113,Alloy,loop,failed,31.47182
112,CSP,no loop,passed,2.08067
113,CSP,loop,failed,2.17588
114,Alloy,no loop,passed,27.6674
115,Alloy,loop,failed,33.24696
114,CSP,no loop,passed,2.06686
115,CSP,loop,failed,2.22192
116,Alloy,no loop,passed,29.17075
117,Alloy,loop,failed,34.5078
116,CSP,no loop,passed,2.2512
117,CSP,loop,failed,2.37096
118,Alloy,no loop,passed,31.30686
119,Alloy,loop,failed,38.53039
118,CSP,no loop,passed,2.41082
119,CSP,loop,failed,2.53087
120,Alloy,no loop,passed,34.6617
121,Alloy,loop,failed,40.4349
120,CSP,no loop,passed,2.77633
121,CSP,loop,failed,2.75335
122,Alloy,no loop,passed,38.12044
123,Alloy,loop,failed,41.96274
122,CSP,no loop,passed,2.60708
123,CSP,loop,failed,2.65216
