N,Size,Environment,Kind,Result,Time
65,137,CSP,loop,cycle found,3.78629
66,138,CSP,no loop,no cycle,3.83305
66,139,CSP,loop,cycle found,4.01026
67,140,CSP,no loop,no cycle,4.12689
67,141,CSP,loop,cycle found,4.24625
68,142,CSP,no loop,no cycle,4.18053
68,143,CSP,loop,cycle found,4.33102
69,144,CSP,no loop,no cycle,4.45463
69,145,CSP,loop,cycle found,4.49232
70,146,CSP,no loop,no cycle,4.62769
70,147,CSP,loop,cycle found,4.93152
71,148,CSP,no loop,no cycle,4.96575
71,149,CSP,loop,cycle found,5.14289
72,150,CSP,no loop,no cycle,5.13275
72,151,CSP,loop,cycle found,5.30889
73,152,CSP,no loop,no cycle,5.29495
73,153,CSP,loop,cycle found,5.46353
74,154,CSP,no loop,no cycle,7.7616
74,155,CSP,loop,cycle found,5.83571
75,156,CSP,no loop,no cycle,5.78685
75,157,CSP,loop,cycle found,5.907
76,158,CSP,no loop,no cycle,5.89941
76,159,CSP,loop,cycle found,6.17014
77,160,CSP,no loop,no cycle,6.18392
77,161,CSP,loop,cycle found,6.42514
78,162,CSP,no loop,no cycle,6.86247
78,163,CSP,loop,cycle found,6.96039
79,164,CSP,no loop,no cycle,6.79041
79,165,CSP,loop,cycle found,6.95511
80,166,CSP,no loop,no cycle,7.68694
80,167,CSP,loop,cycle found,8.11213
81,168,CSP,no loop,no cycle,7.80425
81,169,CSP,loop,cycle found,7.47379
82,170,CSP,no loop,no cycle,7.60724
82,171,CSP,loop,cycle found,7.91006
83,172,CSP,no loop,no cycle,7.89367
83,173,CSP,loop,cycle found,8.1653
84,174,CSP,no loop,no cycle,8.14787
84,175,CSP,loop,cycle found,8.57095
85,176,CSP,no loop,no cycle,8.45021
85,177,CSP,loop,cycle found,8.81789
86,178,CSP,no loop,no cycle,8.89588
86,179,CSP,loop,cycle found,9.06909
87,180,CSP,no loop,no cycle,9.57217
87,181,CSP,loop,cycle found,9.98159
88,182,CSP,no loop,no cycle,10.42877
88,183,CSP,loop,cycle found,11.24055
89,184,CSP,no loop,no cycle,10.84197
89,185,CSP,loop,cycle found,10.46146
90,186,CSP,no loop,no cycle,10.04051
90,187,CSP,loop,cycle found,11.29171
91,188,CSP,no loop,no cycle,11.69239
91,189,CSP,loop,cycle found,11.82116
92,190,CSP,no loop,no cycle,11.50804
92,191,CSP,loop,cycle found,12.27342
93,192,CSP,no loop,no cycle,12.04333
93,193,CSP,loop,cycle found,12.87175
94,194,CSP,no loop,no cycle,12.93378
94,195,CSP,loop,cycle found,12.87717
95,196,CSP,no loop,no cycle,12.27014
95,197,CSP,loop,cycle found,12.82337
96,198,CSP,no loop,no cycle,12.68456
96,199,CSP,loop,cycle found,13.01184
97,200,CSP,no loop,no cycle,13.46054
97,201,CSP,loop,cycle found,14.6245
98,202,CSP,no loop,no cycle,13.4463
98,203,CSP,loop,cycle found,14.80442
99,204,CSP,no loop,no cycle,14.19119
99,205,CSP,loop,cycle found,15.43341
100,206,CSP,no loop,no cycle,14.81303
100,207,CSP,loop,cycle found,15.48592
101,208,CSP,no loop,no cycle,14.81286
101,209,CSP,loop,cycle found,15.65571
102,210,CSP,no loop,no cycle,16.34326
102,211,CSP,loop,cycle found,15.98705
103,212,CSP,no loop,no cycle,15.68418
103,213,CSP,loop,cycle found,16.63222
104,214,CSP,no loop,no cycle,17.2617
104,215,CSP,loop,cycle found,17.05099
105,216,CSP,no loop,no cycle,16.99746
105,217,CSP,loop,cycle found,17.76711
106,218,CSP,no loop,no cycle,17.6253
106,219,CSP,loop,cycle found,17.89149
107,220,CSP,no loop,no cycle,18.31185
107,221,CSP,loop,cycle found,19.9605
108,222,CSP,no loop,no cycle,18.92588
108,223,CSP,loop,cycle found,18.83592
109,224,CSP,no loop,no cycle,20.68173
109,225,CSP,loop,cycle found,21.59528
110,226,CSP,no loop,no cycle,20.60432
110,227,CSP,loop,cycle found,22.01936
111,228,CSP,no loop,no cycle,22.58372
111,229,CSP,loop,cycle found,21.85309
112,230,CSP,no loop,no cycle,24.27476
112,231,CSP,loop,cycle found,22.86665
113,232,CSP,no loop,no cycle,22.75311
113,233,CSP,loop,cycle found,23.58935
114,234,CSP,no loop,no cycle,22.83749
114,235,CSP,loop,cycle found,23.54562
115,236,CSP,no loop,no cycle,24.04043
115,237,CSP,loop,cycle found,24.60089
116,238,CSP,no loop,no cycle,22.92547
116,239,CSP,loop,cycle found,23.78672
117,240,CSP,no loop,no cycle,25.58688
117,241,CSP,loop,cycle found,25.05877
118,242,CSP,no loop,no cycle,25.31962
118,243,CSP,loop,cycle found,27.03894
119,244,CSP,no loop,no cycle,26.92189
119,245,CSP,loop,cycle found,27.11647
120,246,CSP,no loop,no cycle,26.67424
120,247,CSP,loop,cycle found,28.89689
121,248,CSP,no loop,no cycle,28.63659
121,249,CSP,loop,cycle found,29.4291
122,250,CSP,no loop,no cycle,28.12073
122,251,CSP,loop,cycle found,28.69909
123,252,CSP,no loop,no cycle,30.94581
123,253,CSP,loop,cycle found,28.74268
124,254,CSP,no loop,no cycle,30.07197
124,255,CSP,loop,cycle found,31.004
125,256,CSP,no loop,no cycle,30.7167
125,257,CSP,loop,cycle found,31.89386
126,258,CSP,no loop,no cycle,31.30447
126,259,CSP,loop,cycle found,33.11529
127,260,CSP,no loop,no cycle,32.24085
127,261,CSP,loop,cycle found,34.70741
128,262,CSP,no loop,no cycle,33.7036
128,263,CSP,loop,cycle found,32.95181
129,264,CSP,no loop,no cycle,33.8022
129,265,CSP,loop,cycle found,36.01539
130,266,CSP,no loop,no cycle,36.29475
130,267,CSP,loop,cycle found,38.80016
131,268,CSP,no loop,no cycle,37.33617
131,269,CSP,loop,cycle found,37.62638
132,270,CSP,no loop,no cycle,37.25909
132,271,CSP,loop,cycle found,40.78042
133,272,CSP,no loop,no cycle,37.95749
133,273,CSP,loop,cycle found,37.6114
134,274,CSP,no loop,no cycle,40.67599
134,275,CSP,loop,cycle found,39.70715
135,276,CSP,no loop,no cycle,40.5734
135,277,CSP,loop,cycle found,42.05792
136,278,CSP,no loop,no cycle,45.40431
136,279,CSP,loop,cycle found,45.19913
137,280,CSP,no loop,no cycle,42.33614
137,281,CSP,loop,cycle found,45.83983
138,282,CSP,no loop,no cycle,43.80349
138,283,CSP,loop,cycle found,43.81308
139,284,CSP,no loop,no cycle,42.73595
139,285,CSP,loop,cycle found,42.48375
140,286,CSP,no loop,no cycle,43.06703
140,287,CSP,loop,cycle found,46.96555
141,288,CSP,no loop,no cycle,46.22891
141,289,CSP,loop,cycle found,48.08503
142,290,CSP,no loop,no cycle,48.60214
142,291,CSP,loop,cycle found,49.2172
143,292,CSP,no loop,no cycle,50.38714
143,293,CSP,loop,cycle found,49.05645
144,294,CSP,no loop,no cycle,50.49892
144,295,CSP,loop,cycle found,49.60586
145,296,CSP,no loop,no cycle,50.94646
145,297,CSP,loop,cycle found,55.33002
146,298,CSP,no loop,no cycle,54.63176
146,299,CSP,loop,cycle found,55.76089
147,300,CSP,no loop,no cycle,57.8117
147,301,CSP,loop,cycle found,59.60544
148,302,CSP,no loop,no cycle,59.13313
148,303,CSP,loop,cycle found,58.60665
149,304,CSP,no loop,no cycle,60.26507
149,305,CSP,loop,cycle found,56.43612
150,306,CSP,no loop,no cycle,60.3528
150,307,CSP,loop,cycle found,60.08622
151,308,CSP,no loop,no cycle,59.17529
151,309,CSP,loop,cycle found,61.59078
152,310,CSP,no loop,no cycle,59.83151
152,311,CSP,loop,cycle found,61.52643
153,312,CSP,no loop,no cycle,65.48698
153,313,CSP,loop,cycle found,63.86021
154,314,CSP,no loop,no cycle,60.50146
154,315,CSP,loop,cycle found,62.57857
155,316,CSP,no loop,no cycle,63.83172
155,317,CSP,loop,cycle found,64.62123
156,318,CSP,no loop,no cycle,67.53048
156,319,CSP,loop,cycle found,68.12793
157,320,CSP,no loop,no cycle,70.16918
157,321,CSP,loop,cycle found,73.95152
158,322,CSP,no loop,no cycle,66.87261
158,323,CSP,loop,cycle found,69.49402
159,324,CSP,no loop,no cycle,70.94448
159,325,CSP,loop,cycle found,70.66717
160,326,CSP,no loop,no cycle,74.56306
160,327,CSP,loop,cycle found,74.81392
161,328,CSP,no loop,no cycle,74.30565
161,329,CSP,loop,cycle found,76.38318
162,330,CSP,no loop,no cycle,80.57659
162,331,CSP,loop,cycle found,77.18389
163,332,CSP,no loop,no cycle,81.9799
163,333,CSP,loop,cycle found,82.94744
164,334,CSP,no loop,no cycle,83.65606
164,335,CSP,loop,cycle found,80.70917
