Size,Environment,Kind,Result,Time
358,Johnson,no loop,no cycle,0.00403
359,Johnson,loop,cycle found,0.01352
360,Johnson,no loop,no cycle,0.00411
361,Johnson,loop,cycle found,0.01218
362,Johnson,no loop,no cycle,0.00374
363,Johnson,loop,cycle found,0.01247
364,Johnson,no loop,no cycle,0.00409
365,Johnson,loop,cycle found,0.0136
366,Johnson,no loop,no cycle,0.00413
367,Johnson,loop,cycle found,0.0138
368,Johnson,no loop,no cycle,0.00462
369,Johnson,loop,cycle found,0.01263
370,Johnson,no loop,no cycle,0.00427
371,Johnson,loop,cycle found,0.01345
372,Johnson,no loop,no cycle,0.0042
373,Johnson,loop,cycle found,0.01349
374,Johnson,no loop,no cycle,0.00656
375,Johnson,loop,cycle found,0.01559
376,Johnson,no loop,no cycle,0.00579
377,Johnson,loop,cycle found,0.01336
378,Johnson,no loop,no cycle,0.00487
379,Johnson,loop,cycle found,0.01593
380,Johnson,no loop,no cycle,0.00461
381,Johnson,loop,cycle found,0.01415
382,Johnson,no loop,no cycle,0.00458
383,Johnson,loop,cycle found,0.01631
384,Johnson,no loop,no cycle,0.00559
385,Johnson,loop,cycle found,0.01377
386,Johnson,no loop,no cycle,0.00648
387,Johnson,loop,cycle found,0.01625
388,Johnson,no loop,no cycle,0.00447
389,Johnson,loop,cycle found,0.01542
390,Johnson,no loop,no cycle,0.00571
391,Johnson,loop,cycle found,0.01556
392,Johnson,no loop,no cycle,0.00482
393,Johnson,loop,cycle found,0.01464
394,Johnson,no loop,no cycle,0.00512
395,Johnson,loop,cycle found,0.01437
396,Johnson,no loop,no cycle,0.00548
397,Johnson,loop,cycle found,0.01606
398,Johnson,no loop,no cycle,0.00469
399,Johnson,loop,cycle found,0.01476
400,Johnson,no loop,no cycle,0.00515
401,Johnson,loop,cycle found,0.0152
402,Johnson,no loop,no cycle,0.00479
403,Johnson,loop,cycle found,0.01619
404,Johnson,no loop,no cycle,0.0047
405,Johnson,loop,cycle found,0.01929
406,Johnson,no loop,no cycle,0.00594
407,Johnson,loop,cycle found,0.01649
